Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] raised the salary of the receptionist oEffect [GEN],receives raise,makes more money,receives raise
[Name] raised the salary of the receptionist oReact [GEN],happy,happy,happy
[Name] raised the salary of the receptionist oWant [GEN],to work hard,to work hard,to work hard
[Name] raised the salary of the receptionist xAttr [GEN],powerful,responsible,powerful
[Name] raised the salary of the receptionist xEffect [GEN],makes more money,makes more money,makes more money
[Name] raised the salary of the receptionist xIntent [GEN],money,money,money
[Name] raised the salary of the receptionist xNeed [GEN],to have a job,to have a job,to work hard
[Name] raised the salary of the receptionist xReact [GEN],happy,happy,happy
[Name] raised the salary of the receptionist xReason [GEN],the job is very important,the receptionist is sick,they need more money
[Name] raised the salary of the receptionist xWant [GEN],to make more money,to make more money,to make more money
[Name] saved the editor from the criminals AtLocation [GEN],jail,jail,newspaper
[Name] saved the editor from the criminals CapableOf [GEN],kill people,get arrested,to have a gun
[Name] saved the editor from the criminals Causes [GEN],safety,safety,to be a hero
[Name] saved the editor from the criminals CausesDesire [GEN],editor,heroic,to be a hero
[Name] saved the editor from the criminals CreatedBy [GEN],manuscript,desperate,to be a hero
[Name] saved the editor from the criminals DefinedAs [GEN],press,desperate,to be a hero
[Name] saved the editor from the criminals DesireOf [GEN],editor,heroic,to be a hero
[Name] saved the editor from the criminals Desires [GEN],save lives,safety,to be a hero
[Name] saved the editor from the criminals HasA [GEN],manuscript,heroic,to be a hero
[Name] saved the editor from the criminals HasFirstSubevent [GEN],manuscript,magazine,to be a hero
[Name] saved the editor from the criminals HasLastSubevent [GEN],manuscript,heroic,to be a hero
[Name] saved the editor from the criminals HasPainCharacter [GEN],editor,editor,to be a hero
[Name] saved the editor from the criminals HasPainIntensity [GEN],editor,editor,to be a hero
[Name] saved the editor from the criminals HasPrerequisite [GEN],save lives,journal,to be a hero
[Name] saved the editor from the criminals HasProperty [GEN],powerful,powerful,heroic
[Name] saved the editor from the criminals HasSubEvent [GEN],get fired,rewarded,is thanked
[Name] saved the editor from the criminals HasSubevent [GEN],magazine,the editor,to be a hero
[Name] saved the editor from the criminals HinderedBy [GEN],PersonX doesn't know how.,PersonX is not a police officer.,PersonX doesn't have the authority.
[Name] saved the editor from the criminals InheritsFrom [GEN],gun,the editor,to be a hero
[Name] saved the editor from the criminals InstanceOf [GEN],the editor,brave,to be a hero
[Name] saved the editor from the criminals IsA [GEN],people,brave,to be a hero
[Name] saved the editor from the criminals LocatedNear [GEN],save lives,heroic,to be a hero
[Name] saved the editor from the criminals LocationOfAction [GEN],save lives,heroic,to be a hero
[Name] saved the editor from the criminals MadeOf [GEN],manuscript,heroic,to be a hero
[Name] saved the editor from the criminals MadeUpOf [GEN],dog,dog,dog
[Name] saved the editor from the criminals MotivatedByGoal [GEN],manuscript,heroic,to be a hero
[Name] saved the editor from the criminals NotCapableOf [GEN],editor,money,to be a hero
[Name] saved the editor from the criminals NotDesires [GEN],editor,journal,to be a hero
[Name] saved the editor from the criminals NotHasA [GEN],save lives,heroic,to be a hero
[Name] saved the editor from the criminals NotHasProperty [GEN],people,story,to be a hero
[Name] saved the editor from the criminals NotIsA [GEN],save lives,heroic,to be a hero
[Name] saved the editor from the criminals NotMadeOf [GEN],editor,,to be a hero
[Name] saved the editor from the criminals ObjectUse [GEN],save lives,save lives,to be a hero
[Name] saved the editor from the criminals PartOf [GEN],editor,editor,to be a hero
[Name] saved the editor from the criminals ReceivesAction [GEN],gun,brave,to be a hero
[Name] saved the editor from the criminals RelatedTo [GEN],manuscript,editor,to be a hero
[Name] saved the editor from the criminals SymbolOf [GEN],editor,heroic,to be a hero
[Name] saved the editor from the criminals UsedFor [GEN],editor,the editor,to be a hero
[Name] saved the editor from the criminals isAfter [GEN],PersonX writes a story,PersonX writes a story,PersonX is a police officer
[Name] saved the editor from the criminals isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets a promotion
[Name] saved the editor from the criminals isFilledBy [GEN],the editor,car,dog
[Name] saved the editor from the criminals oEffect [GEN],gets fired,gets fired,the editor is saved
[Name] saved the editor from the criminals oReact [GEN],happy,happy,thankful
[Name] saved the editor from the criminals oWant [GEN],to thank person x,to thank them,to thank PersonX
[Name] saved the editor from the criminals xAttr [GEN],heroic,heroic,heroic
[Name] saved the editor from the criminals xEffect [GEN],is thanked,is thanked,is thanked
[Name] saved the editor from the criminals xIntent [GEN],save lives,to be a hero,to be a hero
[Name] saved the editor from the criminals xNeed [GEN],have a gun,to have a gun,to have a gun
[Name] saved the editor from the criminals xReact [GEN],proud,proud,proud
[Name] saved the editor from the criminals xReason [GEN],the editor is in trouble,he is a hero,person x is a hero
[Name] saved the editor from the criminals xWant [GEN],to be a hero,to celebrate,to celebrate
[Name] purchased a new computer due to a recommendation by the salesperson AtLocation [GEN],computer store,computer store,computer store
[Name] purchased a new computer due to a recommendation by the salesperson CapableOf [GEN],sell computer,sell computer,sell a computer
[Name] purchased a new computer due to a recommendation by the salesperson Causes [GEN],buy,happy,to use the computer
[Name] purchased a new computer due to a recommendation by the salesperson CausesDesire [GEN],computer,computer,to the computer
[Name] purchased a new computer due to a recommendation by the salesperson CreatedBy [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson DefinedAs [GEN],computer,computer,to the computer
[Name] purchased a new computer due to a recommendation by the salesperson DesireOf [GEN],computer store,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson Desires [GEN],computer,money,to buy the computer
[Name] purchased a new computer due to a recommendation by the salesperson HasA [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson HasFirstSubevent [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson HasLastSubevent [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson HasPainCharacter [GEN],computer,computer,the computer
[Name] purchased a new computer due to a recommendation by the salesperson HasPainIntensity [GEN],computer store,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson HasPrerequisite [GEN],computer,computer,to the computer
[Name] purchased a new computer due to a recommendation by the salesperson HasProperty [GEN],selling computers,happy,happy
[Name] purchased a new computer due to a recommendation by the salesperson HasSubEvent [GEN],buy computer,buy computer,gets a new computer
[Name] purchased a new computer due to a recommendation by the salesperson HasSubevent [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.
[Name] purchased a new computer due to a recommendation by the salesperson InheritsFrom [GEN],computer,computer,to the computer
[Name] purchased a new computer due to a recommendation by the salesperson InstanceOf [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson IsA [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson LocatedNear [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson LocationOfAction [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson MadeOf [GEN],computer,a computer,to buy the computer
[Name] purchased a new computer due to a recommendation by the salesperson MadeUpOf [GEN],computer,computer,computer
[Name] purchased a new computer due to a recommendation by the salesperson MotivatedByGoal [GEN],computer store,computer,a computer
[Name] purchased a new computer due to a recommendation by the salesperson NotCapableOf [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson NotDesires [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson NotHasA [GEN],computer,computer,computer
[Name] purchased a new computer due to a recommendation by the salesperson NotHasProperty [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson NotIsA [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson NotMadeOf [GEN],computer,computer,the computer
[Name] purchased a new computer due to a recommendation by the salesperson ObjectUse [GEN],buy a computer,buy a computer,buy a computer
[Name] purchased a new computer due to a recommendation by the salesperson PartOf [GEN],computer store,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson ReceivesAction [GEN],computer,computer,the computer
[Name] purchased a new computer due to a recommendation by the salesperson RelatedTo [GEN],computer store,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson SymbolOf [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson UsedFor [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation by the salesperson isAfter [GEN],PersonX breaks their computer,PersonX breaks their computer,PersonX breaks their computer
[Name] purchased a new computer due to a recommendation by the salesperson isBefore [GEN],PersonX buys the computer,PersonX buys the computer,PersonX buys the computer
[Name] purchased a new computer due to a recommendation by the salesperson isFilledBy [GEN],computer,computer,computer
[Name] purchased a new computer due to a recommendation by the salesperson oEffect [GEN],makes money,gets paid,sells a computer
[Name] purchased a new computer due to a recommendation by the salesperson oReact [GEN],happy,happy,happy
[Name] purchased a new computer due to a recommendation by the salesperson oWant [GEN],to sell the computer,to sell the computer,to sell more computers
[Name] purchased a new computer due to a recommendation by the salesperson xAttr [GEN],responsible,smart,responsible
[Name] purchased a new computer due to a recommendation by the salesperson xEffect [GEN],learns a new skill,learns a new skill,learns a new skill
[Name] purchased a new computer due to a recommendation by the salesperson xIntent [GEN],to buy a computer,to buy a computer,to buy a computer
[Name] purchased a new computer due to a recommendation by the salesperson xNeed [GEN],visit store,to go to the store,to go to the store
[Name] purchased a new computer due to a recommendation by the salesperson xReact [GEN],happy,happy,happy
[Name] purchased a new computer due to a recommendation by the salesperson xReason [GEN],they need a computer,they need it,they need a new computer
[Name] purchased a new computer due to a recommendation by the salesperson xWant [GEN],to buy the computer,to use the computer,to try it out
[Name] purchased a new computer due to a recommendation from the salesperson AtLocation [GEN],computer store,computer store,computer store
[Name] purchased a new computer due to a recommendation from the salesperson CapableOf [GEN],sell computer,sell computer,sell computers
[Name] purchased a new computer due to a recommendation from the salesperson Causes [GEN],happy,spend money,to use the computer
[Name] purchased a new computer due to a recommendation from the salesperson CausesDesire [GEN],computer,computer,to the computer
[Name] purchased a new computer due to a recommendation from the salesperson CreatedBy [GEN],computer,sales,to sell the computer
[Name] purchased a new computer due to a recommendation from the salesperson DefinedAs [GEN],computer,sales,to the computer
[Name] purchased a new computer due to a recommendation from the salesperson DesireOf [GEN],computer store,computer,to sell the computer
[Name] purchased a new computer due to a recommendation from the salesperson Desires [GEN],buy computer,more money,to use the computer
[Name] purchased a new computer due to a recommendation from the salesperson HasA [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation from the salesperson HasFirstSubevent [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation from the salesperson HasLastSubevent [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation from the salesperson HasPainCharacter [GEN],computer,computer,to sell the computer
[Name] purchased a new computer due to a recommendation from the salesperson HasPainIntensity [GEN],computer,sales,to buy the computer
[Name] purchased a new computer due to a recommendation from the salesperson HasPrerequisite [GEN],computer,sales,to the computer
