Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] hit the clerk NotIsA [GEN], PersonX gets in trouble, PersonX hits PersonX, PersonX hits the clerk in the head,0.811,0.647,0.724
[Name] hit the clerk NotMadeOf [GEN], the clerk gets a ticket, PersonX hits PersonY, PersonX goes to the store,0.102,0.231,0.712
[Name] hit the clerk ObjectUse [GEN], hit the clerk, hit the clerk, to hit the clerk,1.0,0.83,0.83
[Name] hit the clerk PartOf [GEN], they get a receipt, the clerk is hurt, PersonX yells at the clerk,0.265,0.295,0.564
[Name] hit the clerk ReceivesAction [GEN], the clerk is hurt, they get a ticket, PersonX is angry at the clerk,0.233,0.627,0.158
[Name] hit the clerk RelatedTo [GEN], the clerk is hurt, they get in trouble, PersonX goes to the store,0.287,0.236,0.203
[Name] hit the clerk SymbolOf [GEN], the clerk gets mad, they get a receipt, PersonX goes to the store,0.346,0.283,0.363
[Name] hit the clerk UsedFor [GEN], PersonX gets arrested for assault, PersonX hits the clerk, PersonX is angry at the clerk,0.588,0.496,0.831
[Name] hit the clerk isAfter [GEN], PersonX walks into the store, PersonX walks into the store, PersonX is angry at the clerk,1.0,0.603,0.603
[Name] hit the clerk isBefore [GEN], PersonX apologizes to the clerk, PersonX apologizes to the clerk, PersonX goes to the police,1.0,0.534,0.534
[Name] hit the clerk isFilledBy [GEN], the clerk, the door, the clerk,0.387,1.0,0.387
[Name] hit the clerk oEffect [GEN], none, none, PersonX is arrested,1.0,0.084,0.084
[Name] hit the clerk oReact [GEN], none, angry, none,0.372,1.0,0.372
[Name] hit the clerk oWant [GEN], to call the police, to call the police, to help PersonX,1.0,0.372,0.372
[Name] hit the clerk xAttr [GEN], mean, hurtful, violent,0.395,0.409,0.449
[Name] hit the clerk xEffect [GEN], gets arrested, gets yelled at, PersonX gets arrested,0.38,0.627,0.151
[Name] hit the clerk xIntent [GEN], to hurt the clerk, to hurt the clerk, to hurt the clerk,1.0,1.0,1.0
[Name] hit the clerk xNeed [GEN], to walk up to the clerk, to go to the store, to walk up to the clerk,0.606,1.0,0.606
[Name] hit the clerk xReact [GEN], angry, angry, angry,1.0,1.0,1.0
[Name] hit the clerk xReason [GEN], the clerk is mad at them, the clerk is mad at him, PersonX is angry at the clerk,0.889,0.699,0.697
[Name] hit the clerk xWant [GEN], to apologize to the clerk, to apologize to the clerk, to apologize to the clerk,1.0,1.0,1.0
[Name] caught the developer cheating AtLocation [GEN], tv show, PersonY gets arrested, PersonX finds out the developer cheated,0.205,0.071,0.318
[Name] caught the developer cheating CapableOf [GEN], get a restraining order, find out who is cheating, to find out who cheated,0.238,0.119,0.665
[Name] caught the developer cheating Causes [GEN], the developer is caught, they got caught cheating, PersonX finds out the developer cheated,0.446,0.634,0.35
[Name] caught the developer cheating CausesDesire [GEN], the developer is caught cheating, the developer is caught cheating, PersonX finds out the developer cheated,1.0,0.679,0.679
[Name] caught the developer cheating CreatedBy [GEN], to find out what the cheating is, to find out who cheated, PersonX catches the developer cheating,0.86,0.396,0.327
[Name] caught the developer cheating DefinedAs [GEN], PersonX gets caught cheating, PersonX gets caught cheating, PersonX finds out the cheating,1.0,0.929,0.929
[Name] caught the developer cheating DesireOf [GEN], the developer is caught cheating, the developer is caught cheating, PersonX watches the developer cheat,1.0,0.688,0.688
[Name] caught the developer cheating Desires [GEN], to find out the truth, to be a good person, to find out the truth,0.448,1.0,0.448
[Name] caught the developer cheating HasA [GEN], the developer to be honest, the developer is caught cheating, PersonX finds out the developer cheated,0.666,0.471,0.679
[Name] caught the developer cheating HasFirstSubevent [GEN], PersonX is arrested, PersonX is arrested, PersonX yells at the developer,1.0,0.509,0.509
[Name] caught the developer cheating HasLastSubevent [GEN], PersonX gets caught cheating, PersonX is arrested for cheating, PersonX finds out the developer is cheating,0.857,0.794,0.642
[Name] caught the developer cheating HasPainCharacter [GEN], PersonX gets caught cheating, PersonX gets caught cheating, PersonX finds out the developer cheated,1.0,0.769,0.769
[Name] caught the developer cheating HasPainIntensity [GEN], get a divorce, PersonX is arrested, PersonX looks at the cheat sheet,0.06,0.038,0.539
[Name] caught the developer cheating HasPrerequisite [GEN], have a good time, the developer is caught cheating, PersonX catches the developer cheating,0.041,-0.004,0.725
[Name] caught the developer cheating HasProperty [GEN], good., good about themselves, none,0.336,0.334,0.135
[Name] caught the developer cheating HasSubEvent [GEN], gets yelled at, gets yelled at, PersonX yells at the developer,1.0,0.396,0.396
[Name] caught the developer cheating HasSubevent [GEN], the developer to pay them back, the developer to be honest, PersonX finds out the developer cheated,0.604,0.449,0.471
[Name] caught the developer cheating HinderedBy [GEN], The developer is a good person., The developer won't tell the truth., PersonX doesn't have access to the developer.,0.469,0.412,0.391
[Name] caught the developer cheating InheritsFrom [GEN], the developer to be honest, the developer is caught cheating, PersonX sees the developer cheating,0.666,0.512,0.716
[Name] caught the developer cheating InstanceOf [GEN], the developer is caught cheating, PersonX gets caught cheating, PersonX sees the developer cheating,0.553,0.716,0.788
[Name] caught the developer cheating IsA [GEN], the developer to cheat, good about themselves, PersonX watches the developer cheat,0.064,0.712,0.117
[Name] caught the developer cheating LocatedNear [GEN], to find out who is cheating, to find out what the cheating is, PersonX finds out the developer cheated,0.936,0.366,0.327
[Name] caught the developer cheating LocationOfAction [GEN], to find out the truth, to get rid of someone, none,0.403,0.181,0.097
[Name] caught the developer cheating MadeOf [GEN], the developer to be honest, the developer to cheat, PersonX finds out the developer cheated,0.728,0.471,0.57
[Name] caught the developer cheating MadeUpOf [GEN], the developer is fired, the developer is fired, PersonX finds out the developer cheated,1.0,0.505,0.505
[Name] caught the developer cheating MotivatedByGoal [GEN], the developer is caught cheating, the developer is caught cheating, PersonX watches the developer cheat,1.0,0.688,0.688
[Name] caught the developer cheating NotCapableOf [GEN], the developer to be honest, the developer to cheat, PersonX finds out the developer cheated,0.728,0.471,0.57
[Name] caught the developer cheating NotDesires [GEN], they are fired, they are fired, PersonX catches the developer cheating,1.0,0.163,0.163
[Name] caught the developer cheating NotHasA [GEN], the developer is caught cheating, PersonX gets caught cheating, PersonX catches the developer cheating,0.553,0.725,0.825
[Name] caught the developer cheating NotHasProperty [GEN], good about themselves, good., none,0.336,0.135,0.334
[Name] caught the developer cheating NotIsA [GEN], PersonX is arrested, PersonX gets caught cheating, PersonX finds out the developer cheated,0.708,0.562,0.769
[Name] caught the developer cheating NotMadeOf [GEN], the developer to be honest, the developer is caught cheating, PersonX watches the developer cheat,0.666,0.548,0.688
[Name] caught the developer cheating ObjectUse [GEN], to make sure the developer is honest, to make sure no one else is cheating, to get the developer's attention,0.547,0.765,0.458
[Name] caught the developer cheating PartOf [GEN], the developer is caught cheating, the developer is caught cheating, PersonX yells at the developer for cheating,1.0,0.69,0.69
[Name] caught the developer cheating ReceivesAction [GEN], PersonX is arrested, the developer is caught, PersonX watches the developer cheat,0.329,0.48,0.635
[Name] caught the developer cheating RelatedTo [GEN], the developer to be honest, the developer is caught cheating, PersonX watches the developer cheat,0.666,0.548,0.688
[Name] caught the developer cheating SymbolOf [GEN], to find out the truth, the developer to stop cheating, PersonX watches the developer cheat,0.196,0.121,0.662
[Name] caught the developer cheating UsedFor [GEN], PersonX gets caught cheating, PersonX gets arrested, PersonX watches the developer cheat,0.713,0.714,0.466
[Name] caught the developer cheating isAfter [GEN], PersonX is cheating on PersonX, PersonY is cheating on PersonX, PersonX watches the developer cheat,0.963,0.731,0.696
[Name] caught the developer cheating isBefore [GEN], PersonX apologizes for cheating, PersonX apologizes for cheating, PersonX gives the developer a warning,1.0,0.587,0.587
[Name] caught the developer cheating isFilledBy [GEN], the developer, the developer, PersonX yells at the developer,1.0,0.535,0.535
[Name] caught the developer cheating oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] caught the developer cheating oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] caught the developer cheating oWant [GEN], to get away with it, to win the game, to apologize to PersonX,0.622,0.433,0.419
[Name] caught the developer cheating xAttr [GEN], observant, observant, observant,1.0,1.0,1.0
[Name] caught the developer cheating xEffect [GEN], gets yelled at, gets yelled at, PersonX gets fired,1.0,0.284,0.284
[Name] caught the developer cheating xIntent [GEN], to find out the truth, to be a good person, to be a good person,0.448,0.448,1.0
[Name] caught the developer cheating xNeed [GEN], to find out what is going on, to find out who is cheating, to find the developer cheating,0.6,0.438,0.69
[Name] caught the developer cheating xReact [GEN], guilty, guilty, guilty,1.0,1.0,1.0
[Name] caught the developer cheating xReason [GEN], the developer is caught cheating, the developer is caught cheating, PersonX finds out the developer cheated,1.0,0.679,0.679
[Name] caught the developer cheating xWant [GEN], to file a police report, to punish the person who cheated, to punish the person who cheated,0.273,0.273,1.0
[Name] raised the salary of the receptionist AtLocation [GEN], office building, office, PersonX hires a receptionist,0.743,0.29,0.378
[Name] raised the salary of the receptionist CapableOf [GEN], get a raise, get a raise, pay the receptionist more,1.0,0.397,0.397
[Name] raised the salary of the receptionist Causes [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX wants to be a good boss,1.0,0.252,0.252
[Name] raised the salary of the receptionist CausesDesire [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX wants to make more money,1.0,0.281,0.281
[Name] raised the salary of the receptionist CreatedBy [GEN], get a raise, to make money, PersonX is a boss,0.299,0.217,0.187
[Name] raised the salary of the receptionist DefinedAs [GEN], pay the receptionist more, the receptionist gets a raise, PersonX hires a new receptionist,0.778,0.589,0.585
[Name] raised the salary of the receptionist DesireOf [GEN], they have more money, the receptionist gets a raise, PersonX wants to make more money,0.216,0.387,0.281
[Name] raised the salary of the receptionist Desires [GEN], to be a good boss, to be a good boss, to be a good boss,1.0,1.0,1.0
[Name] raised the salary of the receptionist HasA [GEN], pay the receptionist, the receptionist to make more money, PersonX wants to make money,0.768,0.231,0.401
[Name] raised the salary of the receptionist HasFirstSubevent [GEN], pay the receptionist, pay the receptionist, PersonX gets a raise,1.0,0.279,0.279
[Name] raised the salary of the receptionist HasLastSubevent [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX hires a receptionist,1.0,0.567,0.567
[Name] raised the salary of the receptionist HasPainCharacter [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX hires a receptionist,1.0,0.567,0.567
[Name] raised the salary of the receptionist HasPainIntensity [GEN], get a raise, get a raise, PersonX gets a raise,1.0,0.615,0.615
[Name] raised the salary of the receptionist HasPrerequisite [GEN], have more money, have more money, PersonX is a good boss,1.0,0.147,0.147
[Name] raised the salary of the receptionist HasProperty [GEN], good about themselves, the receptionist has more money, PersonX is a boss,-0.014,0.137,0.199
[Name] raised the salary of the receptionist HasSubEvent [GEN], get a raise, get a raise, PersonX gets a raise,1.0,0.615,0.615
[Name] raised the salary of the receptionist HasSubevent [GEN], to make money, the receptionist to be paid, person x wants to make money,0.222,0.458,0.29
[Name] raised the salary of the receptionist HinderedBy [GEN], The receptionist doesn't have a job., The receptionist does not have a job., PersonX doesn't have the authority to raise the salary.,0.984,0.379,0.37
[Name] raised the salary of the receptionist InheritsFrom [GEN], good about themselves, good about themselves, PersonX is a boss,1.0,0.137,0.137
[Name] raised the salary of the receptionist InstanceOf [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX gets a raise,1.0,0.49,0.49
[Name] raised the salary of the receptionist IsA [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX wants to make more money,1.0,0.281,0.281
[Name] raised the salary of the receptionist LocatedNear [GEN], pay the receptionist, pay the receptionist, PersonX wants to be a good boss,1.0,0.228,0.228
[Name] raised the salary of the receptionist LocationOfAction [GEN], the receptionist to make more money, the receptionist to make more money, person x wants to help,1.0,0.22,0.22
[Name] raised the salary of the receptionist MadeOf [GEN], the receptionist to make more money, the receptionist to make more money, PersonX wants to be a good boss,1.0,0.304,0.304
[Name] raised the salary of the receptionist MadeUpOf [GEN], a raise, a raise, PersonX is a good boss,1.0,0.143,0.143
[Name] raised the salary of the receptionist MotivatedByGoal [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX wants to make money,1.0,0.245,0.245
[Name] raised the salary of the receptionist NotCapableOf [GEN], good about themselves, the receptionist gets a raise, PersonX is a good boss,-0.02,0.16,0.194
[Name] raised the salary of the receptionist NotDesires [GEN], they get a raise, pay the receptionist more, PersonX is a good boss,0.314,0.132,0.217
[Name] raised the salary of the receptionist NotHasA [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX wants to make more money,1.0,0.281,0.281
[Name] raised the salary of the receptionist NotHasProperty [GEN], good about themselves, good about themselves, happy.,1.0,0.248,0.248
[Name] raised the salary of the receptionist NotIsA [GEN], the receptionist gets a raise, the receptionist gets a raise, PersonX gets a raise,1.0,0.49,0.49
[Name] raised the salary of the receptionist NotMadeOf [GEN], pay the receptionist more, the receptionist has more money, PersonX wants to make more money,0.863,0.282,0.351
